Neighborhood/ City,City,Median Household Income Before Taxes,Source
Downtown,Vancouver,"63,817",City of Vancouver
Hastings-Sunrise,Vancouver,"68,506",City of Vancouver
Kerrisdale,Vancouver,"75,419",City of Vancouver
Marpole,Vancouver,"53,782",City of Vancouver
Oakridge,Vancouver,"62,988",City of Vancouver
Riley Park,Vancouver,"83,513",City of Vancouver
South Cambie,Vancouver,"83,111",City of Vancouver
Shaughnessy,Vancouver,"111,566",City of Vancouver
Victoria-Fraserview,Vancouver,"68,126",City of Vancouver
Dunbar-Southlands,Vancouver,"104,450",City of Vancouver
Fairview,Vancouver,"69,337",City of Vancouver
Mount Pleasant,Vancouver,"66,299",City of Vancouver
Renfrew-Collingwood,Vancouver,"64,179",City of Vancouver
WestEnd,Vancouver,"51,410",City of Vancouver
Arbutus Ridge,Vancouver,"71,008",City of Vancouver
Grandview-Woodland,Vancouver,"55,141",City of Vancouver
Kensington-Cedar Cottage,Vancouver,"70,815",City of Vancouver
Kilarney,Vancouver,"71,559",City of Vancouver
Kitsilano ,Vancouver,"72,839",City of Vancouver
Strathcona,Vancouver,"21,964",City of Vancouver
Sunset,Vancouver,"68,855",City of Vancouver
West Point Grey,Vancouver,"84,951",City of Vancouver
Sea Island,Richmond,"100,504",Cmhc
Thompson,Richmond,"86,163",Cmhc
West Richmond,Richmond,"86,163",Cmhc
Steveston,Richmond,"74,811",Cmhc
South Arm,Richmond,"74,811",Cmhc
City Centre,Richmond,"46,789",Cmhc
East Richmond,Richmond,"70,012",Cmhc
Hamilton,Richmond,"70,012",Cmhc
Suncrest,Burnaby,"115,090",areavibes (via statcan)
Maywood,Burnaby,"55,248",areavibes (via statcan)
Garden Village,Burnaby,"72,895",areavibes (via statcan)
Cascade-Schou,Burnaby,"83,836",areavibes (via statcan)
West Central,Burnaby,"92,073",areavibes (via statcan)
Willingdon Heights,Burnaby,"83,966",areavibes (via statcan)
Burnaby Heights,Burnaby,"90,385",areavibes (via statcan)
Capitol Hill,Burnaby,"81,799",areavibes (via statcan)
Brentwood,Burnaby,"87,712",areavibes (via statcan)
Dawson-Delta,Burnaby,57054,areavibes (via statcan)
Douglas-Gilpin,Burnaby,"98,604",areavibes (via statcan)
Marlborough ,Burnaby,"56,683",areavibes (via statcan)
Sussex-Nelson,Burnaby,"93,414",areavibes (via statcan)
Clinton-Glenwood,Burnaby,"86,287",areavibes (via statcan)
Windsor,Burnaby,"72,431",areavibes (via statcan)
Oakalla,Burnaby,"95,813",areavibes (via statcan)
Parkcrest-Aubrey,Burnaby,"92,843",areavibes (via statcan)
Ardingley-Sprott,Burnaby,"97,744",areavibes (via statcan)
Morley-Buckingham,Burnaby,"141,083",areavibes (via statcan)
